NOTICE:  table "hottail" does not exist, skipping
DROP TABLE
CREATE TABLE
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE INDEX
CREATE EXTENSION
CREATE EXTENSION
1727268739 pages; 0  page_time: 1.00000000000000000000
1727269217 pages; 888191  page_time: 0.00048828125000000000

1727269218 pages; 890195  page_time: 0.00048828125000000000

1727269219 pages; 892067  page_time: 0.00048828125000000000
1727269221 pages; 893425  page_time: 0.00048828125000000000

1727269222 pages; 895346  page_time: 0.00048828125000000000

1727269223 pages; 897203  page_time: 0.00048828125000000000

1727269224 pages; 898797  page_time: 0.00048828125000000000

1727269225 pages; 900631  page_time: 0.00048828125000000000

1727269226 pages; 902596  page_time: 0.00048828125000000000

1727269227 pages; 904604  page_time: 0.00048828125000000000

1727269228 pages; 906533  page_time: 0.00048828125000000000

1727269229 pages; 908462  page_time: 0.00048828125000000000

1727269230 pages; 910423  page_time: 0.00048828125000000000

1727269231 pages; 912380  page_time: 0.00048828125000000000

1727269232 pages; 914374  page_time: 0.00048828125000000000

1727269233 pages; 916290  page_time: 0.00048828125000000000

1727269234 pages; 918275  page_time: 0.00048828125000000000

1727269235 pages; 920142  page_time: 0.00048828125000000000

1727269236 pages; 922068  page_time: 0.00048828125000000000

1727269237 pages; 923901  page_time: 0.00048828125000000000

