pgbench: setting random seed to 0
pgbench (18devel)
progress: 1727306294.271 s, 594.0 tps, lat 6.735 ms stddev 5.224, 0 failed
progress: 1727306299.271 s, 735.0 tps, lat 5.442 ms stddev 1.501, 0 failed
progress: 1727306304.271 s, 721.8 tps, lat 5.540 ms stddev 1.807, 0 failed
progress: 1727306309.271 s, 716.0 tps, lat 5.585 ms stddev 1.623, 0 failed
progress: 1727306314.271 s, 727.8 tps, lat 5.496 ms stddev 1.567, 0 failed
progress: 1727306319.271 s, 699.4 tps, lat 5.719 ms stddev 1.846, 0 failed
progress: 1727306324.271 s, 696.2 tps, lat 5.743 ms stddev 2.226, 0 failed
progress: 1727306329.271 s, 579.8 tps, lat 6.900 ms stddev 6.503, 0 failed
progress: 1727306334.271 s, 715.0 tps, lat 5.594 ms stddev 1.751, 0 failed
progress: 1727306339.271 s, 706.2 tps, lat 5.664 ms stddev 1.922, 0 failed
progress: 1727306344.271 s, 715.4 tps, lat 5.590 ms stddev 1.609, 0 failed
progress: 1727306349.271 s, 694.4 tps, lat 5.763 ms stddev 1.759, 0 failed
progress: 1727306354.272 s, 617.6 tps, lat 6.474 ms stddev 7.742, 0 failed
progress: 1727306359.271 s, 657.6 tps, lat 6.083 ms stddev 4.440, 0 failed
progress: 1727306364.271 s, 714.4 tps, lat 5.596 ms stddev 1.480, 0 failed
progress: 1727306369.271 s, 580.8 tps, lat 6.888 ms stddev 2.530, 0 failed
progress: 1727306374.271 s, 547.0 tps, lat 7.311 ms stddev 3.399, 0 failed
progress: 1727306379.271 s, 555.6 tps, lat 7.197 ms stddev 2.883, 0 failed
progress: 1727306384.271 s, 670.4 tps, lat 5.970 ms stddev 1.784, 0 failed
progress: 1727306389.271 s, 504.4 tps, lat 7.917 ms stddev 5.110, 0 failed
progress: 1727306394.271 s, 536.6 tps, lat 7.459 ms stddev 4.151, 0 failed
progress: 1727306399.271 s, 583.0 tps, lat 6.865 ms stddev 2.592, 0 failed
progress: 1727306404.271 s, 663.6 tps, lat 6.024 ms stddev 2.335, 0 failed
progress: 1727306409.271 s, 551.0 tps, lat 7.263 ms stddev 3.113, 0 failed
progress: 1727306414.271 s, 510.0 tps, lat 7.842 ms stddev 6.634, 0 failed
progress: 1727306419.274 s, 587.9 tps, lat 6.803 ms stddev 2.610, 0 failed
progress: 1727306424.271 s, 614.9 tps, lat 6.503 ms stddev 2.569, 0 failed
progress: 1727306429.271 s, 586.4 tps, lat 6.821 ms stddev 2.557, 0 failed
progress: 1727306434.271 s, 630.6 tps, lat 6.345 ms stddev 2.648, 0 failed
progress: 1727306439.271 s, 632.2 tps, lat 6.295 ms stddev 2.633, 0 failed
progress: 1727306444.271 s, 657.2 tps, lat 6.114 ms stddev 3.959, 0 failed
progress: 1727306449.271 s, 678.0 tps, lat 5.899 ms stddev 2.276, 0 failed
progress: 1727306454.271 s, 685.8 tps, lat 5.831 ms stddev 3.680, 0 failed
progress: 1727306459.271 s, 690.4 tps, lat 5.793 ms stddev 2.381, 0 failed
progress: 1727306464.271 s, 703.8 tps, lat 5.682 ms stddev 1.999, 0 failed
progress: 1727306469.271 s, 668.8 tps, lat 5.982 ms stddev 3.424, 0 failed
progress: 1727306474.271 s, 592.4 tps, lat 6.751 ms stddev 4.546, 0 failed
progress: 1727306479.271 s, 696.6 tps, lat 5.742 ms stddev 1.699, 0 failed
progress: 1727306484.271 s, 671.2 tps, lat 5.962 ms stddev 4.277, 0 failed
